Arrondissement,Arrondissement_Nom,Annee,Prix_Median_m2,Prix_Moyen_m2,Nb_Ventes,Ecart_Type,Prix_Min_m2,Prix_Max_m2,Q1_m2,Q3_m2
1,Paris 1er,2021,13208.72,13491.97,442,6555.31,0.01,34645.42,10503.79,16240.9
1,Paris 1er,2022,13133.19,13817.67,540,6581.68,3.51,34628.05,10360.03,16708.52
1,Paris 1er,2023,12686.0,12622.27,469,7110.86,0.0,35000.0,9182.84,15728.99
1,Paris 1er,2024,11790.0,11566.13,402,6582.04,0.0,32483.87,8392.86,15074.74
2,Paris 02ème,2021,11734.69,11730.7,686,5351.93,0.02,35000.0,9628.42,13620.71
2,Paris 02ème,2022,11724.75,11426.82,686,5148.75,0.01,34098.49,9438.03,13602.21
2,Paris 02ème,2023,11306.26,11587.14,610,6231.44,0.07,34958.68,8425.0,13842.95
2,Paris 02ème,2024,10945.17,11000.98,538,5828.08,0.34,34880.0,8281.68,13202.42
3,Paris 03ème,2021,12131.43,11794.77,914,6036.5,0.01,34722.22,9242.85,14344.2
3,Paris 03ème,2022,12272.73,11912.45,1027,5728.48,0.01,35000.0,9978.09,14405.77
3,Paris 03ème,2023,11764.71,11435.52,894,6164.32,0.0,34800.43,9237.82,14086.88
3,Paris 03ème,2024,11510.87,11760.97,792,5761.63,0.0,35000.0,9178.79,13952.66
4,Paris 04ème,2021,13081.67,13716.35,640,6581.12,0.0,35000.0,10785.2,15824.51
4,Paris 04ème,2022,13129.66,13461.8,728,5854.22,0.01,34200.0,11333.33,15882.41
4,Paris 04ème,2023,13033.48,13111.6,630,6229.09,0.01,34624.24,10517.77,15629.82
4,Paris 04ème,2024,12500.0,12554.74,579,5649.89,2.96,34074.07,10206.38,14575.05
5,Paris 05ème,2021,12687.66,12716.15,1047,5152.57,0.0,35000.0,10498.72,14721.11
5,Paris 05ème,2022,12758.62,12929.87,1232,5225.63,0.0,35000.0,10856.02,14818.25
5,Paris 05ème,2023,12250.0,12433.67,1038,5433.5,0.01,34375.0,10100.22,14309.31
5,Paris 05ème,2024,11718.75,12071.5,963,5364.77,0.04,35000.0,9867.04,13567.63
6,Paris 06ème,2021,14940.23,15298.76,1027,6661.9,0.0,34758.54,12394.5,17894.74
6,Paris 06ème,2022,14937.16,15233.44,1147,6531.7,0.0,34933.33,12165.15,18131.94
6,Paris 06ème,2023,14705.88,14934.76,933,6819.55,0.01,34736.84,11554.0,18159.62
6,Paris 06ème,2024,14111.46,14318.44,906,6715.48,0.86,33703.7,11434.85,17612.69
7,Paris 07ème,2021,14408.6,14417.19,1165,6637.8,0.01,35000.0,11666.67,17441.86
7,Paris 07ème,2022,14620.95,14569.8,1340,6653.88,0.01,35000.0,11986.11,17891.02
7,Paris 07ème,2023,14383.8,14804.03,1089,6857.59,0.01,35000.0,11500.0,18292.68
